MetaMessage('track_name', name='Piano right', time=0)
note_on channel=0 note=78 velocity=0 time=0
note_on channel=0 note=78 velocity=51 time=180
note_on channel=0 note=81 velocity=51 time=0
note_on channel=0 note=85 velocity=51 time=0
note_on channel=0 note=85 velocity=0 time=60
note_on channel=0 note=81 velocity=0 time=0
note_on channel=0 note=78 velocity=0 time=0
note_on channel=0 note=73 velocity=53 time=1620
note_on channel=0 note=76 velocity=38 time=180
note_on channel=0 note=76 velocity=0 time=60
note_on channel=0 note=73 velocity=0 time=0
note_on channel=0 note=74 velocity=45 time=0
note_on channel=0 note=74 velocity=0 time=240
note_on channel=0 note=73 velocity=45 time=0
note_on channel=0 note=73 velocity=0 time=240
note_on channel=0 note=71 velocity=52 time=0
note_on channel=0 note=71 velocity=0 time=240
note_on channel=0 note=73 velocity=45 time=0
note_on channel=0 note=73 velocity=0 time=120
note_on channel=0 note=74 velocity=45 time=0
note_on channel=0 note=74 velocity=0 time=120
note_on channel=0 note=76 velocity=47 time=0
note_on channel=0 note=76 velocity=0 time=120
note_on channel=0 note=78 velocity=48 time=0
note_on channel=0 note=78 velocity=0 time=120
note_on channel=0 note=80 velocity=52 time=0
note_on channel=0 note=80 velocity=0 time=240
note_on channel=0 note=78 velocity=53 time=0
note_on channel=0 note=78 velocity=0 time=120
note_on channel=0 note=80 velocity=43 time=0
note_on channel=0 note=80 velocity=0 time=120
note_on channel=0 note=81 velocity=46 time=0
note_on channel=0 note=81 velocity=0 time=120
note_on channel=0 note=83 velocity=49 time=0
note_on channel=0 note=83 velocity=0 time=120
note_on channel=0 note=85 velocity=52 time=0
note_on channel=0 note=85 velocity=0 time=60
note_on channel=0 note=85 velocity=49 time=180
note_on channel=0 note=85 velocity=0 time=60
note_on channel=0 note=85 velocity=48 time=180
note_on channel=0 note=85 velocity=0 time=60
note_on channel=0 note=73 velocity=53 time=900
note_on channel=0 note=73 velocity=0 time=15
note_on channel=0 note=73 velocity=45 time=225
note_on channel=0 note=73 velocity=0 time=15
note_on channel=0 note=73 velocity=45 time=225
